name,E125_1,E125_2,E145_1,E145_2,P0_1,P0_2,P07_1,P07_2,P21_1,P21_2,Adult_1,Adult_2
ENSMUSG00000032425,227.6114006,318.4110078,351.6857107,320.8799949,298.8051027,402.7176895,233.5953229,229.2387461,193.941358,122.4090051,183.7414355,191.8631383
ENSMUSG00000032431,961.196793,796.0275195,1582.215503,1422.705106,838.128214,997.0631272,1046.977598,1028.845325,937.3832301,994.2608986,386.2746088,312.5860119
ENSMUSG00000032434,1048.857941,944.7128359,1327.521009,1284.891262,3182.34134,3322.046665,3314.86888,3174.774698,2921.818911,2927.823551,2325.999536,2722.731952
ENSMUSG00000032435,1417.188552,1427.940114,1337.146092,1378.824081,1490.67568,1411.757551,1203.267994,1224.426001,1120.934872,1185.368835,741.2296548,791.1659749
ENSMUSG00000032436,451.378014,432.0290326,368.714703,344.8774304,267.9866392,395.2322306,264.6853478,274.7226243,324.3900094,522.1118789,1269.486282,799.7890373
ENSMUSG00000032437,3993.195957,3548.108565,4414.210963,4482.720954,4566.492331,4432.140222,3915.662606,4140.852271,4001.194921,3920.835378,1670.376687,2942.620043
ENSMUSG00000032440,1760.912525,1430.044152,2891.967128,2633.547138,4431.159079,4073.58674,4355.964582,4394.652312,1195.971707,1381.473058,672.3266164,1351.665031
ENSMUSG00000032449,1991.599755,2454.710413,1798.409666,2030.868686,1460.527183,1265.042556,1378.044351,1551.909924,1083.993661,1430.186845,906.1793526,1513.347451
ENSMUSG00000032454,10.76540408,23.14441246,11.84625552,1.37128203,341.0129983,455.8644478,372.2400289,344.7677968,918.9126246,936.8036105,1357.181058,644.5739142
ENSMUSG00000032456,70.74408397,71.53727488,119.2029462,159.7543564,375.8512614,345.0796559,268.0464316,257.4387506,383.2650645,468.4018052,496.9370643,476.4241974
ENSMUSG00000032458,4869.807432,4159.682131,4243.92104,4076.821474,4796.960841,5653.767117,4539.143648,4503.813619,5851.718711,5141.178214,6445.56604,5372.167873
ENSMUSG00000032459,891.2216665,798.131557,641.9189709,685.6410148,371.1614953,410.9516943,443.6630592,447.5613615,1006.648001,1030.483972,1799.83088,1705.210589
ENSMUSG00000032462,211.4632945,286.1490995,256.1752756,210.4917915,322.2539336,320.3776415,283.1713086,319.296825,184.7060552,274.7957257,215.0609984,241.4457471
ENSMUSG00000032463,356.0272921,358.3877202,287.2716963,276.3133289,295.4552697,350.3194771,299.9767275,217.4129378,270.1326057,284.7882976,225.5008527,347.0782615
ENSMUSG00000032468,777.4159662,799.5342487,1009.152892,887.2194731,791.9005187,882.5356058,850.3541969,757.7614108,826.559597,1065.457973,682.7664707,1269.745938
ENSMUSG00000032469,453.6848863,487.4353534,475.3310027,454.5799928,327.6136664,347.3252935,284.8518505,282.0000448,671.8682758,423.4352319,448.9137346,620.8604926
ENSMUSG00000032470,343.7239732,377.3240577,276.1658318,284.5410211,191.610447,243.2774147,233.5953229,133.7226019,464.0739637,223.583795,137.8060767,30.18071839
ENSMUSG00000032475,910.4456023,767.2723404,721.8811957,792.6010131,650.5375666,638.5096452,677.2583821,554.903314,2001.751873,1781.175931,3466.031625,4346.023448
ENSMUSG00000032477,2289.186282,2550.794792,1581.475112,1650.337923,1181.821079,1160.246131,1233.517748,898.7614332,701.8830097,799.4057476,693.206325,892.4869581
ENSMUSG00000032478,584.4076502,549.8551324,412.3977702,483.3769154,308.8546016,372.027308,315.1016046,272.9032692,327.853248,605.7996681,714.0860336,554.031759
ENSMUSG00000032479,3226.545395,3033.320724,5301.199345,5609.229142,4307.885225,4623.019424,5435.712747,5271.581483,1564.229405,1941.057081,1217.287011,2056.600382
ENSMUSG00000032480,2424.522791,2108.245572,1753.245817,1769.639459,925.8938383,1139.286847,1217.5526,854.1872326,944.3097072,635.7773836,2394.902575,1036.923253
ENSMUSG00000032481,9234.40983,10117.61497,5940.156752,5807.379395,2141.883214,2318.995171,2142.690911,2184.135831,895.8243677,743.197531,1378.060767,390.1935735
ENSMUSG00000032485,1278.007256,1797.549368,1434.137309,1525.551258,1175.121413,1267.288194,988.9989029,1184.400188,660.3241473,779.4206039,465.6175014,521.695275
ENSMUSG00000032487,50.75119067,65.92650822,42.20228528,22.62615349,83.07585814,103.299333,169.734731,317.4774698,375.1841746,168.6246499,423.8580843,222.0438567
ENSMUSG00000032491,364.4858239,457.9788284,229.5212007,282.4840981,180.8909814,140.7266276,126.8809128,174.6580923,160.4633855,128.6543625,89.78274692,183.2400759
ENSMUSG00000032492,1084.99894,1176.858306,662.6499181,730.8933217,389.92056,392.9865929,367.1984032,418.4516794,175.4707524,123.6580766,16.70376687,112.0998112
ENSMUSG00000032497,630.5450962,699.9431405,558.9951823,575.2528114,1313.804499,1200.66761,1339.391887,1301.748594,1671.5898,1721.2205,1330.037437,1427.116827
ENSMUSG00000032498,582.1007778,666.9798864,487.1772582,770.6605006,304.1648355,317.3834579,573.9050558,537.6194403,360.1768076,545.844237,851.8921103,834.2812869
ENSMUSG00000032501,582.8697353,683.8121864,481.2541304,559.483068,1118.844219,748.5458913,761.2854766,983.3614467,1333.346836,1423.941488,966.7305075,847.2158805
ENSMUSG00000032502,41.52370146,14.72826248,70.33714214,45.25230697,100.4949897,191.6277482,151.2487702,160.1032513,116.5956973,161.130221,317.3715705,118.567108
ENSMUSG00000032504,2515.259768,2500.999238,2722.417596,3060.015849,5586.181494,5740.59844,5002.97321,5427.136347,3772.621177,4309.296608,1595.209736,2783.093389
ENSMUSG00000032507,49.98223324,37.17132911,53.30814983,43.88102494,42.87786227,39.67293224,45.37463106,131.9032468,327.853248,131.1525055,54.28724232,6.467296798
ENSMUSG00000032508,210.694337,204.0916372,367.2339211,354.4764046,719.5441262,735.0720652,589.8702037,644.9613929,720.3536153,939.3017534,649.358937,642.4181486
